variant,metric,mean,ci_lo,ci_hi,std,sessions
hawkes,acf_ret1_1s,-0.01700609303413303,-0.039119530312340244,0.006535857351512489,0.04857278090604509,16
hawkes,arrival_cv,1.0718957115002894,1.0661899222061193,1.0775779616241825,0.012144329646682998,16
hawkes,fano_0.1s,1.1441414494093105,1.1350569439527967,1.1529608632373,0.01876068917349364,16
hawkes,fano_0.3s,1.3552169688895814,1.3402066621274975,1.3702880394701773,0.031657832358716685,16
hawkes,fano_10s,2.199390646340813,2.040051326358997,2.377608718921846,0.3635614357742885,16
hawkes,fano_1s,1.678941526890244,1.6388354301239545,1.7210449008838127,0.08799842424272428,16
hawkes,fano_3s,1.959542751251513,1.8642374109684743,2.0506691962293893,0.19981314834880604,16
hawkes,hill1_0.1s,3.9566571483547817,3.5836945248509413,4.37448390945384,0.839021074254414,16
hawkes,hill1_1s,4.3747061482828276,3.7830029599415758,5.021231460783428,1.3004421653889748,16
hawkes,hill5_0.1s,2.5764465673839805,2.3871323758309893,2.781165129309138,0.4158663828162235,16
hawkes,hill5_1s,3.14282973026578,2.883472245561744,3.4554631169644114,0.603092105145539,16
hawkes,kurt_0.1s,21.803516680046425,18.76459277394852,24.905357775998954,6.527298024755416,16
hawkes,kurt_1s,6.205152853542971,5.061735246040213,7.464816983939638,2.5303004647080787,16
hawkes,n_aggressive,11436.5,11383.3671875,11486.6265625,111.2828228733737,16
hawkes,sign_acf1,0.047828147568449976,0.04201680879962017,0.053606492503226244,0.012290249577460556,16
hawkes,sign_acf10,0.037925400928616515,0.03568500047514416,0.04022444191742873,0.004786742209911127,16
hawkes,sign_gamma,0.39335500906777493,0.33981618067052766,0.45211369444905936,0.11644180385660717,16
hawkes,sign_r2,0.25188553413527603,0.20744920908635156,0.29852426150177086,0.09632826915501175,16
hawkes,size_hill5,3.952248974743597,3.858201841929726,4.066608102671852,0.22034135391827284,16
hawkes,spread_mean,1.9301580492848878,1.9089378840478115,1.9495847218419957,0.041756201778401426,16
hawkes,spread_median,1.0,1.0,1.0,0.0,16
hawkes,spread_q99,7.6875,7.4375,7.875,0.47871355387816905,16
hawkes,zero_share_0.1s,0.4776890756302521,0.47370798319327734,0.4818382352941176,0.008564395422874191,16
hawkes,zero_share_1s,0.13781512605042018,0.1314075630252101,0.14369747899159663,0.012829009332407704,16
hawkes,spread_q99_minus_median,6.6875,6.4375,6.875,0.47871355387816905,16
hawkes+meta,acf_abs10_0.1s,0.05322378341604671,0.0453795841312049,0.06115110098352532,0.01657284331486913,16
hawkes+meta,acf_abs10_1s,-0.013140680971588168,-0.034339597618911054,0.010137176065680466,0.046098134112191276,16
hawkes+meta,acf_abs1_0.1s,0.26243715319830074,0.25008037433400476,0.2754289189808714,0.027090547488897963,16
