window,latency_ms,arm,n_fills,pnl_gross_usd,notional_usd,killed,pnl_edge_usd,pnl_inventory_usd,inv_abs_mean_btc,inv_max_abs_btc,eff_half_spread_ticks,postfill_500ms_ticks,postfill_100ms_ticks,fill_rate_orders,quote_lifetime_s,sharpe_1s,max_drawdown_usd,touch_fidelity,pnl_net_A_0bps_usd,pnl_net_A_0bps_bps,pnl_net_B_1/2.5bps_usd,pnl_net_B_1/2.5bps_bps,pnl_gross_bps
3,10.0,adaptive_inventory,38,-0.38887563400010094,2055.0138670359997,0.0,0.031684661,-0.42056029500010095,0.003737225137037037,0.00705882,12.510023129083025,-63.82400497168681,-42.88971912654348,0.1870967741935484,3.453353470588235,-0.11895880955947348,0.41436913050006297,nan,-0.38887563400010094,-1.8923260822613641,-0.5943770207037009,-2.892326082261364,-1.8923260822613641
3,10.0,adaptive_full,23,-0.20332683699994902,1412.853074237,0.0,0.025621953000000003,-0.22894878999994903,0.0024066536074074077,0.00538969,14.714081025795345,-68.99509223452067,-48.69485454154947,0.06818181818181818,1.9909935190839696,-0.09137052854753197,0.2698372014999677,nan,-0.20332683699994902,-1.4391223030020588,-0.34461214442364907,-2.4391223030020592,-1.4391223030020588
4,0.0,AS_scaled,21,-0.13510309999992387,1472.1089371,0.0,0.0217793,-0.15688239999992387,0.0018047202667654688,0.006152,11.998292199206698,-49.83285588364919,-44.25975099162627,0.05817174515235457,1.5016713091922007,-0.09547598789309394,0.13510309999992387,nan,-0.13510309999992387,-0.9177520535000077,-0.2823139937099239,-1.9177520535000079,-0.9177520535000077
4,0.0,adaptive_off,23,-0.19130810000012843,1634.3172421,0.0,0.0261768,-0.21748490000012843,0.0022600741015190813,0.008152,12.989678443826916,-46.3770841603811,-41.35708614529575,0.19827586206896552,4.621052631578947,-0.11145086735785467,0.19130810000012843,nan,-0.19130810000012843,-1.1705689389552605,-0.3547398242101284,-2.17056893895526,-1.1705689389552605
4,0.0,adaptive_inventory,22,-0.09606339199996228,1504.4847902760002,0.0,0.023904299,-0.11996769099996228,0.0012178814005187105,0.00437234,12.885775476364515,-49.796897943606034,-45.99622606318177,0.1896551724137931,4.621052631578947,-0.10022043676281966,0.09606339199996228,nan,-0.09606339199996228,-0.6385135471016579,-0.2465118710275623,-1.6385135471016579,-0.6385135471016579
4,0.0,adaptive_full,22,-0.07516940099995395,1445.160783728,0.0,0.0233617755,-0.09853117649995395,0.0013188046165246389,0.00375903,13.110539657490735,-56.30855717579134,-47.25419802818103,0.08482142857142858,2.3725225225225226,-0.0649680672783897,0.07516940099995395,nan,-0.07516940099995395,-0.5201455910396604,-0.21968547937275396,-1.5201455910396602,-0.5201455910396604
4,10.0,AS_scaled,23,-0.16579999999999018,1621.9846,0.0,0.023700000000000002,-0.18949999999999018,0.002258243793997777,0.008,11.85,-48.6,-42.45,0.047961630695443645,1.2984417060240963,-0.09300730818943374,0.17049999999997567,nan,-0.16579999999999018,-1.022204526479414,-0.3279984599999902,-2.022204526479414,-1.022204526479414
4,10.0,adaptive_off,24,-0.19365000000004784,1703.0875,0.0,0.024200000000000003,-0.21785000000004784,0.0024657280474249723,0.009000000000000001,11.523809523809524,-46.88095238095238,-41.023809523809526,0.19444444444444445,4.962812018867925,-0.10078522797150569,0.1986500000000433,nan,-0.19365000000004784,-1.1370525589557074,-0.36395875000004785,-2.1370525589557072,-1.1370525589557074
4,10.0,adaptive_inventory,24,-0.10146517449993553,1594.1980118840002,0.0,0.022505788000000002,-0.12397096249993553,0.00130832856243053,0.00457315,11.449231140207855,-48.983439766841684,-44.65605561979607,0.19444444444444445,4.962812018867925,-0.09582752738083739,0.10146517449993553,nan,-0.10146517449993553,-0.6364653182575823,-0.2608849756883356,-1.6364653182575828,-0.6364653182575823
4,10.0,adaptive_full,13,-0.012788697000004845,837.2429410300001,0.0,0.0079255695,-0.020714266500004845,0.00039970596517228604,0.0024751,7.677717426052183,-63.648034645571656,-59.80410537043172,0.04672897196261682,2.5091805,-0.024160842417339068,0.029558404999988852,nan,-0.012788697000004845,-0.15274774349571493,-0.09651299110300486,-1.152747743495715,-0.15274774349571493
