env,gamma,seed,pnl_net,pnl_gross,fees,pnl_edge,pnl_inventory,pnl_realized,pnl_unrealized,pnl_vol_1s,sharpe_1s,sharpe_ann_247,max_drawdown,pnl_1s_q05,pnl_1s_cvar05,pnl_1s_worst,inv_mean,inv_std,inv_abs_mean,inv_max_abs,inv_q05,inv_q95,inv_final,n_fills,n_maker_fills,n_taker_fills,filled_qty,n_quotes,n_cancels,n_rejects,fill_rate_orders,fill_ratio_qty,cancel_rate,quote_to_trade,quote_lifetime_mean_s,quote_lifetime_median_s,avg_edge_ticks,pnl_per_lot,killed,kill_time_s,sigma_hat_final,n_sigma_clamped,n_offset_clamped,market_trades,mid_max_dev_ticks,diverged,market_spread_mean,guarded,crashed
noise,0.1,4200014,-1.5400000000000489,-1.5400000000000489,0.0,11.36,-12.900000000000048,-1.5499999999999816,0.00999999999993273,0.17698785593770733,-0.04972092550291998,-279.21741845896923,2.714999999999904,-0.10900000000003016,-0.4222222222222156,-2.1800000000000637,0.047972587093089665,2.030882400669203,1.1387778412335807,13.0,-4.0,3.0,2.0,350,350,0,1240.0,1471,1284,0,0.21210061182868797,0.16859279401767505,0.8728755948334467,7.871428571428571,0.23803815731790334,0.119534528,0.9161290322580645,-0.001241935483871007,0.0,nan,3.2947327643616044,0.0,51.0,4604.0,25.0,0.0,1.2794285714285714,,
noise,0.1,4200015,-0.4100000000001387,-0.4100000000001387,0.0,12.665000000000001,-13.07500000000014,-0.38999999999999946,-0.02000000000013924,0.0810221847217018,-0.02891624251932077,-162.38472043936645,1.6399999999999295,-0.1280000000000271,-0.2250000000000164,-0.6500000000000483,-0.0034266133637921186,1.7684298275612924,1.0371216447744147,9.0,-3.0,4.0,-4.0,377,377,0,1336.0,1573,1375,0,0.2161474888747616,0.16986649713922441,0.8741258741258742,7.819628647214854,0.22269229805856142,0.107383887,0.9479790419161677,-0.000306886227545014,0.0,nan,1.863360492920282,0.0,24.0,4887.0,67.5,0.0,1.296,,
noise,0.1,4200016,0.09500000000019782,0.09500000000019782,0.0,12.700000000000001,-12.604999999999803,0.04999999999992818,0.04500000000026964,0.06769706986015973,0.008018916387070233,45.031767003302924,1.0049999999999244,-0.08249999999999884,-0.22999999999999135,-0.46499999999991815,0.045688178183894916,1.6275653994524273,0.8509423186750429,9.0,-3.0,4.0,-3.0,353,353,0,1273.0,1497,1307,0,0.20774883099532399,0.17007348029392116,0.8730794923179692,7.943342776203966,0.23403152553712375,0.123995996,0.997643362136685,7.462686567179719e-05,0.0,nan,3.2318923428370354,0.0,73.0,4845.0,71.5,0.0,1.3409480296973157,,
noise,0.1,4200017,-3.3000000000003666,-3.3000000000003666,0.0,12.34,-15.640000000000366,-3.3000000000000216,-3.4505731605349865e-13,0.14119403435208325,-0.13355481301796746,-750.0027349944888,4.834999999999866,-0.11100000000006102,-0.4750000000000164,-1.3999999999999773,-0.0508280982295831,1.6170275236186438,0.7338663620788121,13.0,-3.0,3.0,0.0,298,298,0,1052.0,1548,1391,1,0.1731266149870801,0.1359173126614987,0.898578811369509,9.865771812080537,0.2258808553997413,0.1289057685,1.173003802281369,-0.003136882129277915,0.0,nan,2.1954340774144745,1.0,149.0,4753.0,54.0,0.0,1.3583285632512878,,
noise,0.1,4200018,0.12000000000006139,0.12000000000006139,0.0,13.725,-13.604999999999938,0.14999999999981817,-0.029999999999756777,0.0652456769293094,0.010509727509725671,59.01939584371731,0.7700000000001239,-0.10999999999997385,-0.18611111111109502,-0.37999999999999545,-0.06624785836664764,1.9885904205985523,1.2609937178754997,7.0,-4.0,3.0,-5.0,426,426,0,1513.0,1676,1449,0,0.22374701670644392,0.18054892601431982,0.8645584725536993,7.335680751173709,0.20904138009199522,0.103815233,0.9071381361533377,7.931262392601546e-05,0.0,nan,2.4454086875513563,0.0,0.0,4872.0,24.5,0.0,1.2775556824671617,,
noise,0.1,4200019,1.4450000000010164,1.4450000000010164,0.0,11.93,-10.484999999998983,1.4200000000000372,0.025000000000979128,0.05011730082879565,0.1647563360476189,925.2208875973747,0.549999999999784,-0.09499999999990934,-0.13166666666663376,-0.19499999999993634,-0.16162193032552827,2.144316461270424,1.3575099942889777,14.0,-4.0,3.0,-5.0,404,404,0,1391.0,1472,1262,0,0.234375,0.1889945652173913,0.8573369565217391,6.767326732673268,0.23804611640408163,0.13519569850000002,0.8576563623292596,0.0010388209920927508,0.0,nan,2.0811018297772557,0.0,11.0,4764.0,17.5,0.0,1.2718446601941749,,
noise,0.1,4200020,-6.9699999999998425,-6.9699999999998425,0.0,12.945,-19.914999999999843,-6.970000000000017,1.7408297026122455e-13,0.3484575606767297,-0.1142996333648797,-641.8715708957212,7.224999999999795,-0.1599999999999852,-0.6883333333333215,-4.545000000000044,0.09537407195888065,1.9731308384214938,1.1713306681896059,15.0,-3.0,4.0,0.0,383,383,0,1410.0,1577,1362,0,0.22130627774254916,0.17882054533925174,0.8636651870640456,7.673629242819843,0.22215553521460318,0.108457453,0.9180851063829787,-0.004943262411347406,0.0,nan,8.200563112317512,1.0,122.0,4804.0,50.5,0.0,1.2855511136493432,,
noise,0.1,4200021,-0.6200000000002888,-0.6200000000002888,0.0,13.105,-13.72500000000029,-0.6200000000001817,-1.0702549957386509e-13,0.07052363378913988,-0.05023645198787767,-282.1124565706122,0.9400000000002819,-0.09999999999998295,-0.20611111111112893,-0.4750000000000796,-0.09251856082238721,1.8963748507646536,1.0976584808680754,8.0,-4.0,4.0,0.0,379,379,0,1408.0,1622,1401,0,0.20900123304562268,0.17361282367447595,0.8637484586929717,7.9762532981530345,0.21587597454938273,0.1,0.9307528409090909,-0.0004403409090911142,0.0,nan,2.659254298092533,0.0,6.0,4704.0,29.5,0.0,1.3072529982866934,,
noise,0.1,4200022,-1.0899999999998329,-1.0899999999998329,0.0,11.77,-12.859999999999832,-1.1100000000001267,0.020000000000293783,0.09632950089251005,-0.06465902315346436,-363.1051784007677,1.5599999999996612,-0.0754999999999583,-0.3149999999999977,-0.9200000000000159,-0.0034266133637921186,1.609860293877172,0.8201027984009137,9.0,-3.0,3.0,-2.0,311,311,0,1080.0,1532,1373,0,0.1821148825065274,0.1409921671018277,0.8962140992167101,9.340836012861736,0.22875816993464052,0.1167230605,1.0898148148148148,-0.0010092592592591046,0.0,nan,1.9160174085529356,0.0,59.0,4863.0,29.5,0.0,1.350085665334095,,
noise,0.1,4200023,-3.9999999999998295,-3.9999999999998295,0.0,9.865,-13.86499999999983,-4.010000000000036,0.010000000000206732,0.18835756270606696,-0.12134974847179661,-681.4628480105512,4.454999999999885,-0.0999999999999929,-0.528888888888899,-2.169999999999945,0.0057110222729868645,1.6201090151250195,0.7447173043974872,14.0,-3.0,2.0,-2.0,254,254,0,882.0,1434,1300,0,0.15271966527196654,0.12301255230125523,0.9065550906555091,10.763779527559056,0.24435671588337993,0.12477315250000001,1.1184807256235827,-0.004535147392290056,0.0,nan,2.2886879732877015,2.0,110.0,4693.0,50.5,0.0,1.313535122786979,,
noise,0.1,4200024,-3.4200000000001296,-3.4200000000001296,0.0,11.785,-15.20500000000013,-3.420000000000037,-9.281464485866309e-14,0.1689727827599054,-0.1156568343354235,-649.4931939345561,4.025000000000048,-0.11499999999991246,-0.4600000000000001,-1.7649999999998869,0.026270702455739578,1.8884952639337163,1.0188463735008566,11.0,-3.0,3.0,0.0,339,339,0,1208.0,1500,1314,0,0.19666666666666666,0.16106666666666666,0.876,8.300884955752212,0.23342813803604806,0.123471414,0.9755794701986755,-0.002831125827814677,0.0,nan,3.53453593916902,0.0,38.0,4798.0,21.5,0.0,1.3116066323613493,,
noise,0.1,4200025,0.8750000000000426,0.8750000000000426,0.0,12.13,-11.254999999999958,0.8800000000000554,-0.005000000000012772,0.056844716896826394,0.08795892165450103,493.9502389866452,0.779999999999859,-0.08450000000003682,-0.17166666666664632,-0.32499999999998863,0.029697315819531698,1.6674489246683741,0.9982866933181039,7.0,-3.0,3.0,-1.0,386,386,0,1309.0,1528,1337,0,0.21858638743455497,0.1713350785340314,0.875,7.422279792746114,0.2292514881140236,0.11381495950000001,0.9266615737203973,0.0006684491978609952,0.0,nan,2.184528464874793,0.0,10.0,4761.0,14.0,0.0,1.332,,
noise,0.1,4200026,-2.6099999999992747,-2.6099999999992747,0.0,13.17,-15.779999999999275,-2.5599999999998797,-0.04999999999939497,0.11348511761981148,-0.13142063053806036,-738.0178228768528,2.8749999999995026,-0.10800000000003676,-0.3183333333333407,-1.3099999999999739,0.09137635636778983,1.8129837872993702,1.0770988006853226,10.0,-3.0,3.0,-5.0,398,398,0,1427.0,1640,1438,0,0.21402439024390243,0.17402439024390243,0.8768292682926829,7.733668341708543,0.21364153744078143,0.10373707,0.9229152067274001,-0.0018290119131039065,0.0,nan,2.3954814057345093,0.0,30.0,4843.0,49.5,0.0,1.3198172472872645,,
noise,0.1,4200027,-2.4849999999999426,-2.4849999999999426,0.0,14.27,-16.754999999999942,-2.4699999999999465,-0.014999999999996128,0.11438084197755874,-0.12414666437571494,-697.1694671138712,2.895000000000053,-0.1429999999999836,-0.39277777777778844,-0.8200000000000216,0.14677327241576243,1.807288889210274,1.0331239291833239,7.0,-3.0,4.0,-1.0,389,389,0,1429.0,1637,1426,0,0.2156383628588882,0.17458766035430665,0.8711056811240073,7.874035989717224,0.2139119325938838,0.106413364,0.9986004198740378,-0.0017389783065080073,0.0,nan,1.9406186595275328,0.0,29.0,4987.0,62.5,0.0,1.3131428571428572,,
noise,0.1,4200028,-2.66500000000039,-2.66500000000039,0.0,10.545,-13.21000000000039,-2.669999999999878,0.0049999999994878586,0.13087549706001247,-0.11635922514655782,-653.4376046037162,3.0650000000002535,-0.08249999999997894,-0.42277777777778325,-1.3649999999999096,0.04169046259280411,1.630652379360291,0.9360365505425471,9.0,-3.0,3.0,-1.0,318,318,0,1131.0,1578,1404,0,0.17553865652724968,0.14334600760456273,0.8897338403041825,9.377358490566039,0.2217784175824873,0.120868293,0.9323607427055703,-0.0023563218390808046,0.0,nan,1.7695086027659974,0.0,103.0,4854.0,72.5,0.0,1.3312356979405033,,
noise,0.1,4200029,-3.0849999999992264,-3.0849999999992264,0.0,10.325000000000001,-13.409999999999227,-3.0900000000000554,0.005000000000829008,0.09020859788847081,-0.19542008013872525,-1097.419039156367,3.8349999999994253,-0.14449999999997373,-0.32833333333331577,-0.7199999999999847,-0.012564249000571102,1.7268867856929107,0.9914334665905197,10.0,-3.0,3.0,-1.0,323,323,0,1167.0,1504,1334,0,0.19481382978723405,0.15518617021276596,0.886968085106383,8.786377708978328,0.23296207194474036,0.101838409,0.8847472150814053,-0.0026435304198793716,0.0,nan,1.6610836028799025,0.0,50.0,4787.0,76.5,0.0,1.2798400913763563,,
noise,0.2,4200000,-0.5499999999998408,-0.5499999999998408,0.0,10.055,-10.60499999999984,-0.5499999999999452,1.0436096431476471e-13,0.06293224912789916,-0.04994032767633821,-280.4495135546755,0.7699999999998681,-0.0794999999999831,-0.19388888888889097,-0.530000000000058,-0.020559680182752713,1.4408695284475992,0.6384922901199315,10.0,-2.0,3.0,0.0,276,276,0,984.0,1458,1311,0,0.16529492455418382,0.13497942386831277,0.8991769547325102,10.032608695652174,0.24032142922390107,0.1335461055,1.0218495934959348,-0.0005589430894307326,0.0,nan,3.0225812182851586,0.0,111.0,4758.0,15.5,0.0,1.3226727584237579,,
noise,0.2,4200001,-2.900000000000034,-2.900000000000034,0.0,9.0,-11.900000000000034,-2.8999999999999626,-7.149836278586008e-14,0.15700488419708708,-0.10554721693005917,-592.720693322758,3.664999999999935,-0.09499999999999317,-0.3916666666666752,-1.7750000000000057,0.08509423186750428,1.3741350967453017,0.6116504854368932,6.0,-2.0,3.0,0.0,245,245,0,868.0,1555,1427,1,0.13504823151125403,0.11163987138263666,0.917684887459807,12.175510204081633,0.2252256496851256,0.129805481,1.0368663594470047,-0.0033410138248848318,0.0,nan,5.618295397595985,1.0,221.0,4914.0,65.5,0.0,1.3445714285714285,,
