env,scope,group,horizon,metric,mean,ci_lo,ci_hi,sessions,mean_fills
informed,mm_profile,all,1s,R,0.08154803041128945,-0.01057934425593542,0.17715869599185308,24,628.9583333333334
informed,all_profile,all,-,E,1.36212613394597,1.3414748193224608,1.381490002636523,24,7195.875
informed,all_profile,all,10ms,M,-0.635408898247407,-0.6682556844103571,-0.6012086903339208,24,7195.875
informed,all_profile,all,10ms,R,0.7267246230510587,0.7076287861116253,0.7477887036906694,24,7195.875
informed,all_profile,all,50ms,M,-0.6917598484923694,-0.7300079131112438,-0.6518357052141454,24,7195.875
informed,all_profile,all,50ms,R,0.6704246198697912,0.6434250772907655,0.6982077040990046,24,7195.875
informed,all_profile,all,100ms,M,-0.7393295547548369,-0.7815177569468142,-0.6958765986730588,24,7195.875
informed,all_profile,all,100ms,R,0.6228029180603207,0.5895685533103571,0.6566676995978701,24,7195.875
informed,all_profile,all,500ms,M,-0.9725105550075049,-1.0382701489563828,-0.9085547835017628,24,7195.875
informed,all_profile,all,500ms,R,0.3896909929098311,0.33257012749029136,0.44537271381702215,24,7195.875
informed,all_profile,all,1s,M,-1.1101280262693045,-1.1780551166179836,-1.0439757307884645,24,7195.875
informed,all_profile,all,1s,R,0.2518812984348912,0.18983237861475166,0.31201646415847184,24,7195.875
informed,null_random_times,all,10ms,M,0.0009739583333333333,-0.0002188020833333333,0.002333463541666667,24,nan
informed,null_random_times,all,50ms,M,0.0004937499999999998,-0.0020116145833333336,0.0028741145833333344,24,nan
informed,null_random_times,all,100ms,M,-0.0009802083333333334,-0.004616901041666665,0.0027973177083333352,24,nan
informed,null_random_times,all,500ms,M,3.854166666666705e-05,-0.00668859375,0.0067315364583333355,24,nan
